,value,label,label2,codigo,cidade,lat,lng,cep,hora,cod
0,RIO BRANCO AEROPORTO,"RIO BRANCO AEROPORTO,RBR,Aeroporto",RIO BRANCO AEROPORTO,RBR,RIO BRANCO,-9.868889,-67.898056,69923-900,Segunda a Sexta - 8:00 às 17:00 | Sábado - 8:00 às 12:00 | Domingo e Feriado - fechada,AEROPORTO
1,MACEIO AEROPORTO,"MACEIO AEROPORTO,MCZ,Aeroporto",MACEIO AEROPORTO,MCZ,MACEIÓ,-9.515222,-35.792669,57100-971,Todos os dias 24h  (inclusive feriados),AEROPORTO
2,MACEIO FAROL,"MACEIO FAROL,MAA,RUA",MACEIO FAROL,MAA,MACEIÓ,-9.62126,-35.739449,57057-000,Segunda a Sexta: 8:00 às 18:00 | Sábados - 8:00 às 12:00 | Domingos e Feriados: Fechada.,cidade
3,MACAPA AEROPORTO,"MACAPA AEROPORTO,MCP,Aeroporto",MACAPA AEROPORTO,MCP,MACAPÁ,0.049787,-51.068483,68901-271,Todos os dias das 24h (inclusive feriados).,AEROPORTO
4,MANAUS AEROPORTO,"MANAUS AEROPORTO,MAO,Aeroporto",MANAUS AEROPORTO,MAO,MANAUS,-3.03188,-60.04672,69041-000,Todos os dias das 07:00 às 23:00 (inclusive feriados).,AEROPORTO
5,MANAUS CENTRO,"MANAUS CENTRO,MOVMAN,RUA",MANAUS CENTRO,MOVMAN,MANAUS,-3.064295,-60.02472,69058-830,Segunda a sexta das 8h às 17h | Sábado das 8h às 12h | Domingos e Feriados - fechada,cidade
6,FEIRA DE SANTANA,"FEIRA DE SANTANA,FEC,RUA",FEIRA DE SANTANA,FEC,FEIRA DE SANTANA,-12.268236,-38.940406,44076-130,Segunda a Sexta - 08:00 às 17:00 | Sábado - 08:00 às 12:00 | Domingos e Feriado - fechada.,cidade
7,ILHEUS AEROPORTO,"ILHEUS AEROPORTO,IOS,Aeroporto",ILHEUS AEROPORTO,IOS,ILHÉUS,-14.814123,-39.032257,45654-165,Todos os dias 07:00 às 18:00 (inclusive feriados).,AEROPORTO
8,SALVADOR AEROPORTO,"SALVADOR AEROPORTO,SSA,Aeroporto",SALVADOR AEROPORTO,SSA,LAURO DE FREITAS,-12.914156,-38.336458,42703-440,Todos os dias 24hs  (inclusive feriados).,AEROPORTO
9,PORTO SEGURO AEROPORTO,"PORTO SEGURO AEROPORTO,BPS,Aeroporto",PORTO SEGURO AEROPORTO,BPS,PORTO SEGURO,-16.439813,-39.077685,45810-000,Todos os dias - 24h (inclusive feriados).,AEROPORTO
10,SALVADOR - PARALELA,"SALVADOR - PARALELA,SPAPP,RUA",SALVADOR - PARALELA,SPAPP,SALVADOR,-12.9394659,-38.4099733,41730-101,Segunda a Sexta - 07:00 às 19:00 | Sábado - 08:00 às 12:00 | Domingos e Feriados - fechada,cidade
11,SALVADOR AMARALINA - PITUBA,"SALVADOR AMARALINA - PITUBA,MOVSVD,RUA",SALVADOR AMARALINA - PITUBA,MOVSVD,SALVADOR,-13.007908,-38.463724,41900-325,Segunda a Sexta - 8:00 às 18:00 | Sábado - 8:00 às 12:00 | Domingos e Feriado - 8:00 as 12:00,cidade
12,VITORIA DA CONQUISTA AEROPORTO,"VITORIA DA CONQUISTA AEROPORTO,VDC,Aeroporto",VITORIA DA CONQUISTA AEROPORTO,VDC,VITÓRIA DA CONQUISTA,-14.8628,-40.8631,45105-000,Segunda a Sexta das  09:00 às 01:20 | Sábados das 09:00 às 17:20 | Domingos e feriados das 15:00 às 23:20.,AEROPORTO
13,FORTALEZA AEROPORTO,"FORTALEZA AEROPORTO,FOR,Aeroporto",FORTALEZA AEROPORTO,FOR,FORTALEZA,-3.782576,-38.535872,60741-970,Todos os dias 24 horas (inclusive feriados).,AEROPORTO
14,FORTALEZA CENTRO,"FORTALEZA CENTRO,FORC,RUA",FORTALEZA CENTRO,FORC,FORTALEZA,-3.724223,-38.508646,60165-068,Segunda a Sexta - 08:00 às 18:00 | Sábado 8:00 às 12:00 |Domingos e Feriado - fechada.,cidade
